Variable,MSE,MAE,RMSE,MAPE,Accuracy
GDP,3.180485371749923,1.3150548434257507,1.783391536300967,41.701435912494894,58.298564087505106
CPI,0.9694188162749756,0.7005978764872361,0.9845906846375176,37.94657664200334,62.05342335799666
UNRATE,3.697844498157187,0.6940592543284099,1.9229780285164952,9.086971847307023,90.91302815269297
IR,0.16432416105245815,0.28438242621719834,0.4053691663810386,114.24392376038719,-14.24392376038719
BOP,457957448.2493387,15473.530468749996,21399.940379574393,8.787237130574322,91.21276286942567
