Variable,MSE,MAE,RMSE,MAPE,Accuracy
GDP,6.204510639437839,1.7780219809214275,2.490885513113326,55.02243630322646,44.97756369677354
CPI,2.0059254838183125,1.0322036194154867,1.4163069878449066,42.774210337903824,57.225789662096176
UNRATE,3.2543858388326266,1.1135602315266928,1.8039916404553062,22.093359751228242,77.90664024877177
IR,0.41396039264651774,0.5366516813238462,0.6433975385766701,267.9696468199711,-167.9696468199711
BOP,7387215960.54458,73890.3833984375,85948.91483052348,43.74449713849021,56.25550286150979
