Variable,MSE,MAE,RMSE,MAPE,Accuracy
GDP,3.0430433445039418,1.2920408630371092,1.7444320979917625,38.606415391140175,61.393584608859825
CPI,1.0796477055134208,0.700513739907214,1.0390609729527045,35.78654347396481,64.21345652603519
UNRATE,3.6106533395319236,0.8084780454635621,1.900171923677414,12.380553857876212,87.61944614212379
IR,0.19102776708256067,0.2827068747778733,0.43706723405279496,192.28261672702303,-92.28261672702303
BOP,779197211.4138244,20521.905989583334,27914.1041664214,10.942494609345385,89.05750539065461
