Variable,MSE,MAE,RMSE,MAPE,Accuracy
GDP,5.008319316449247,2.019784688949585,2.23792746005076,38.12424718100479,61.87575281899521
CPI,2.2331324509334802,1.340284490585327,1.4943669063966454,46.84617727934214,53.15382272065786
UNRATE,39.796090991300495,5.887930846214294,6.308414300860439,251.29824022062186,-151.29824022062186
IR,3.1165368735163383,1.2411428689956665,1.7653715964397803,29.094755784358856,70.90524421564115
BOP,121.11335321202037,9.509248379707337,11.005151212592237,145.46336618504375,-45.46336618504375
