Variable,MSE,MAE,RMSE,MAPE,Accuracy
GDP,8.490036967892427,2.328266620635986,2.9137668005337054,37.371918069799,62.628081930201
CPI,2.3347749491421625,1.3307254910469055,1.5279970383289891,48.286160329440115,51.713839670559885
UNRATE,1.5216813313399817,0.8880608439445495,1.2335644820356906,38.93356563404565,61.06643436595435
IR,1.2584038474797197,0.854094535112381,1.1217860078819488,17.876032747863945,82.12396725213605
BOP,188.7309509916289,11.039610418570227,13.737938382145586,163.73202832339123,-63.73202832339123
